"Atlantis,Poseidon City,1000000,true,5000.5,120000.5,2025-10-01T12:30:00,1800-05-10,"
"Elbonia,Sludge Town,5000,false,350.2,250.0,2025-09-15T09:00:00,1900-01-01,"
"Freedonia,Liberty City,100000,true,450.0,5000.0,2025-08-20T15:45:00,1750-07-04,"
"Genovia,Genovian Capital,250000,true,2100.1,15000.0,2025-07-11T08:20:00,1810-03-15,"
"Narnia,Cair Paravel,75000,false,300.5,1200.5,2025-06-05T17:00:00,1600-12-01,"
"Wakanda,Golden City,1200000,true,4000.0,245000.0,2025-05-23T13:15:00,1700-06-20,"
"Zubrowka,Capitol City,95000,true,1800.0,9800.0,2025-04-18T10:10:00,1805-11-11,"
"Ruritania,Ruritanian City,40000,false,250.0,650.0,2025-03-30T07:00:00,1850-02-02,"
"Laputa,Castle in Sky,3000,false,1200.0,450.0,2025-02-14T19:45:00,1705-08-08,"
"El Dorado,Golden Capital,500000,true,3500.0,80000.0,2025-01-01T06:30:00,1600-04-04,"
